area,year,population,percentChange,totalPopulationChange,births,deaths,internationalImmigration,domesticMigration
"Abilene, TX",1970,122164,null,null,null,null,null,null
"Abilene, TX",1971,124900,2.2396,2736,null,null,null,null
"Abilene, TX",1972,128400,2.8022,3500,null,null,null,null
"Abilene, TX",1973,127500,-0.7009,-900,null,null,null,null
"Abilene, TX",1974,128600,0.8627,1100,null,null,null,null
"Abilene, TX",1975,131000,1.8663,2400,null,null,null,null
"Abilene, TX",1976,133400,1.8321,2400,null,null,null,null
"Abilene, TX",1977,133100,-0.2249,-300,null,null,null,null
"Abilene, TX",1978,134400,0.9767,1300,null,null,null,null
"Abilene, TX",1979,136600,1.6369,2200,null,null,null,null
"Abilene, TX",1980,139192,1.8975,2592,null,null,null,null
"Abilene, TX",1981,143310,2.9585,4118,null,null,null,null
"Abilene, TX",1982,148899,3.8999,5589,2867,1345,null,null
"Abilene, TX",1983,152939,2.7132,4040,3062,1310,null,null
"Abilene, TX",1984,153587,0.4237,648,3067,1325,null,null
"Abilene, TX",1985,153470,-0.0762,-117,2959,1320,null,null
"Abilene, TX",1986,155031,1.0171,1561,2868,1319,null,null
"Abilene, TX",1987,153655,-0.8876,-1376,2775,1338,null,null
"Abilene, TX",1988,150042,-2.3514,-3613,2692,1383,null,null
"Abilene, TX",1989,149324,-0.4785,-718,2657,1350,null,null
"Abilene, TX",1990,148004,-0.884,-1320,1991,968,null,null
"Abilene, TX",1991,147400,-0.4081,-604,2482,1308,null,null
"Abilene, TX",1992,149917,1.7076,2517,2516,1454,170,223
"Abilene, TX",1993,152909,1.9958,2992,2282,1368,197,858
"Abilene, TX",1994,153779,0.569,870,2300,1439,133,-1000
"Abilene, TX",1995,156097,1.5074,2318,2398,1467,184,451
"Abilene, TX",1996,156351,0.1627,254,2245,1467,197,-1300
"Abilene, TX",1997,157405,0.6741,1054,2300,1437,259,-806
"Abilene, TX",1998,158264,0.5457,859,2387,1397,172,-784
"Abilene, TX",1999,159755,0.9421,1491,2359,1456,147,-260
"Abilene, TX",2000,160245,0.3067,490,null,null,null,null
"Abilene, TX",2001,158917,-0.8287,-1328,2375,1547,134,-2667
"Abilene, TX",2002,159012,0.0598,95,2337,1577,-93,-689
"Abilene, TX",2003,158810,-0.127,-202,2244,1471,-592,-18
"Abilene, TX",2004,160156,0.8476,1346,2381,1573,465,-608
"Abilene, TX",2005,160761,0.3778,605,2457,1542,110,-732
"Abilene, TX",2006,161389,0.3906,628,2454,1515,289,-1145
"Abilene, TX",2007,162023,0.3928,634,2445,1513,69,-690
"Abilene, TX",2008,162508,0.2993,485,2427,1534,163,-1008
"Abilene, TX",2009,163888,0.8492,1380,2413,1515,120,-10
"Abilene, TX",2010,165252,0.8323,1364,539,404,89,127
"Abilene, TX",2011,166651,0.8466,1399,2295,1506,222,13
"Abilene, TX",2012,167540,0.5335,889,2357,1587,535,-418
"Abilene, TX",2013,167609,0.0412,69,2389,1693,407,-1088
"Abilene, TX",2014,168465,0.5107,856,2383,1596,399,-279
"Abilene, TX",2015,169893,0.8477,1428,2400,1692,457,276
"Abilene, TX",2016,170364,0.2772,471,2445,1755,381,-599
area,year,population,percentChange,totalPopulationChange,births,deaths,internationalImmigration,domesticMigration
"Akron, OH",1970,679239,null,null,null,null,null,null
"Akron, OH",1971,679200,-0.0057,-39,null,null,null,null
"Akron, OH",1972,677100,-0.3092,-2100,null,null,null,null
"Akron, OH",1973,676200,-0.1329,-900,null,null,null,null
"Akron, OH",1974,670300,-0.8725,-5900,null,null,null,null
"Akron, OH",1975,672800,0.373,2500,null,null,null,null
"Akron, OH",1976,667900,-0.7283,-4900,null,null,null,null
"Akron, OH",1977,662300,-0.8384,-5600,null,null,null,null
"Akron, OH",1978,658500,-0.5738,-3800,null,null,null,null
"Akron, OH",1979,660400,0.2885,1900,null,null,null,null
"Akron, OH",1980,660328,-0.0109,-72,null,null,null,null
"Akron, OH",1981,658870,-0.2208,-1458,null,null,null,null
"Akron, OH",1982,656126,-0.4165,-2744,9517,5669,null,null
"Akron, OH",1983,653968,-0.3289,-2158,9253,5765,null,null
"Akron, OH",1984,651917,-0.3136,-2051,8975,5834,null,null
"Akron, OH",1985,648457,-0.5307,-3460,9015,5890,null,null
"Akron, OH",1986,646647,-0.2791,-1810,8992,5897,null,null
"Akron, OH",1987,647810,0.1799,1163,8862,5829,null,null
"Akron, OH",1988,652814,0.7724,5004,8927,5794,null,null
"Akron, OH",1989,655626,0.4308,2812,9132,5643,null,null
"Akron, OH",1990,657575,0.2973,1949,6928,4113,null,null
"Akron, OH",1991,664478,1.0498,6903,9780,5784,null,null
"Akron, OH",1992,669752,0.7937,5274,9663,5952,358,232
"Akron, OH",1993,674114,0.6513,4362,9644,6088,330,-673
"Akron, OH",1994,678063,0.5858,3949,9333,6030,255,-589
"Akron, OH",1995,682146,0.6022,4083,9196,6057,395,-276
"Akron, OH",1996,687264,0.7503,5118,9096,6143,260,1073
"Akron, OH",1997,689461,0.3197,2197,8994,6289,335,-1093
"Akron, OH",1998,691039,0.2289,1578,9030,6150,304,-1976
"Akron, OH",1999,693125,0.3019,2086,9009,6302,349,-1354
"Akron, OH",2000,694960,0.2647,1835,null,null,null,null
"Akron, OH",2001,698108,0.453,3148,8826,6540,786,-1112
"Akron, OH",2002,699533,0.2041,1425,8527,6457,715,-1695
"Akron, OH",2003,701139,0.2296,1606,8352,6580,602,-1209
"Akron, OH",2004,701811,0.0958,672,8320,6669,587,-1929
"Akron, OH",2005,702498,0.0979,687,8272,6821,598,-1762
"Akron, OH",2006,702433,-0.0093,-65,8124,6418,609,-2761
"Akron, OH",2007,703423,0.1409,990,8466,6295,532,-2017
"Akron, OH",2008,703300,-0.0175,-123,8295,6583,512,-2741
"Akron, OH",2009,703361,0.0087,61,8252,6640,507,-1991
"Akron, OH",2010,703200,-0.0229,-161,1975,1595,260,-715
"Akron, OH",2011,703115,-0.0121,-85,7580,6659,1215,-1816
"Akron, OH",2012,702477,-0.0907,-638,7554,7034,1192,-2349
"Akron, OH",2013,703433,0.1361,956,7584,7018,1233,-931
"Akron, OH",2014,704355,0.1311,922,7697,6850,1358,-812
"Akron, OH",2015,703358,-0.1415,-997,7642,7212,1399,-2767
"Akron, OH",2016,702221,-0.1617,-1137,7641,7193,1364,-2470
area,year,population,percentChange,totalPopulationChange,births,deaths,internationalImmigration,domesticMigration
"Albany, GA",1970,126744,null,null,null,null,null,null
"Albany, GA",1971,131100,3.4368,4356,null,null,null,null
"Albany, GA",1972,135400,3.2799,4300,null,null,null,null
"Albany, GA",1973,137800,1.7725,2400,null,null,null,null
"Albany, GA",1974,134100,-2.6851,-3700,null,null,null,null
"Albany, GA",1975,135500,1.044,1400,null,null,null,null
"Albany, GA",1976,138200,1.9926,2700,null,null,null,null
"Albany, GA",1977,141300,2.2431,3100,null,null,null,null
"Albany, GA",1978,142000,0.4954,700,null,null,null,null
"Albany, GA",1979,144400,1.6901,2400,null,null,null,null
"Albany, GA",1980,146283,1.304,1883,null,null,null,null
"Albany, GA",1981,148567,1.5614,2284,null,null,null,null
"Albany, GA",1982,149660,0.7357,1093,2818,1085,null,null
"Albany, GA",1983,149716,0.0374,56,2745,1072,null,null
"Albany, GA",1984,150313,0.3988,597,2646,1140,null,null
"Albany, GA",1985,151062,0.4983,749,2604,1201,null,null
"Albany, GA",1986,150405,-0.4349,-657,2571,1192,null,null
"Albany, GA",1987,149611,-0.5279,-794,2517,1168,null,null
"Albany, GA",1988,148651,-0.6417,-960,2567,1160,null,null
"Albany, GA",1989,147705,-0.6364,-946,2629,1208,null,null
"Albany, GA",1990,146583,-0.7596,-1122,1983,949,null,null
"Albany, GA",1991,147910,0.9053,1327,2549,1158,null,null
"Albany, GA",1992,150065,1.457,2155,2472,1214,20,501
"Albany, GA",1993,151993,1.2848,1928,2474,1261,25,363
"Albany, GA",1994,153232,0.8152,1239,2443,1327,30,-197
"Albany, GA",1995,154087,0.558,855,2319,1341,48,-518
"Albany, GA",1996,155576,0.9663,1489,2411,1316,64,41
"Albany, GA",1997,156748,0.7533,1172,2352,1287,53,-348
"Albany, GA",1998,157452,0.4491,704,2530,1341,88,-864
"Albany, GA",1999,157644,0.1219,192,2485,1322,67,-1546
"Albany, GA",2000,157833,0.1199,189,null,null,null,null
"Albany, GA",2001,157735,-0.0621,-98,2493,1335,158,-504
"Albany, GA",2002,156947,-0.4996,-788,2276,1305,83,-1187
"Albany, GA",2003,156914,-0.021,-33,2223,1401,-88,-96
"Albany, GA",2004,156911,-0.0019,-3,2229,1479,244,-544
"Albany, GA",2005,156886,-0.0159,-25,2315,1335,135,-463
"Albany, GA",2006,157412,0.3353,526,2447,1392,195,-222
"Albany, GA",2007,157367,-0.0286,-45,2481,1442,115,-496
"Albany, GA",2008,157551,0.1169,184,2429,1380,145,-370
"Albany, GA",2009,157969,0.2653,418,2341,1385,131,-135
"Albany, GA",2010,157308,-0.4184,-661,544,410,19,10
"Albany, GA",2011,157814,0.3217,506,2333,1241,92,-1112
"Albany, GA",2012,157322,-0.3118,-492,2182,1396,136,-1438
"Albany, GA",2013,155953,-0.8702,-1369,2212,1461,100,-2184
"Albany, GA",2014,155154,-0.5123,-799,2059,1415,107,-1538
"Albany, GA",2015,153508,-1.0609,-1646,2010,1481,118,-2291
"Albany, GA",2016,152219,-0.8397,-1289,1937,1515,100,-1887
area,year,population,percentChange,totalPopulationChange,births,deaths,internationalImmigration,domesticMigration
"Albany, OR",1970,71914,null,null,null,null,null,null
"Albany, OR",1971,75500,4.9865,3586,null,null,null,null
"Albany, OR",1972,76500,1.3245,1000,null,null,null,null
"Albany, OR",1973,78100,2.0915,1600,null,null,null,null
"Albany, OR",1974,79000,1.1524,900,null,null,null,null
"Albany, OR",1975,80900,2.4051,1900,null,null,null,null
"Albany, OR",1976,82400,1.8541,1500,null,null,null,null
"Albany, OR",1977,84700,2.7913,2300,null,null,null,null
"Albany, OR",1978,86300,1.889,1600,null,null,null,null
"Albany, OR",1979,89000,3.1286,2700,null,null,null,null
"Albany, OR",1980,89495,0.5562,495,null,null,null,null
"Albany, OR",1981,90173,0.7576,678,null,null,null,null
"Albany, OR",1982,89748,-0.4713,-425,1394,700,null,null
"Albany, OR",1983,89415,-0.371,-333,1319,703,null,null
"Albany, OR",1984,89253,-0.1812,-162,1347,738,null,null
"Albany, OR",1985,88019,-1.3826,-1234,1322,770,null,null
"Albany, OR",1986,88026,0.008,7,1268,780,null,null
"Albany, OR",1987,88069,0.0488,43,1261,797,null,null
"Albany, OR",1988,89223,1.3103,1154,1281,829,null,null
"Albany, OR",1989,89890,0.7476,667,1332,839,null,null
"Albany, OR",1990,91227,1.4874,1337,1013,624,null,null
"Albany, OR",1991,93145,2.1024,1918,1333,762,null,null
"Albany, OR",1992,94112,1.0382,967,1290,856,74,724
"Albany, OR",1993,95496,1.4706,1384,1275,923,79,1178
"Albany, OR",1994,96919,1.4901,1423,1258,892,86,1207
"Albany, OR",1995,98853,1.9955,1934,1277,922,47,1755
"Albany, OR",1996,100582,1.7491,1729,1431,1031,71,1504
"Albany, OR",1997,102054,1.4635,1472,1419,997,112,1159
"Albany, OR",1998,102770,0.7016,716,1441,994,74,370
"Albany, OR",1999,103462,0.6733,692,1464,1011,105,352
"Albany, OR",2000,103069,-0.3798,-393,null,null,null,null
"Albany, OR",2001,103544,0.4609,475,1320,975,107,241
"Albany, OR",2002,104561,0.9822,1017,1414,1046,94,692
"Albany, OR",2003,106035,1.4097,1474,1351,963,73,1086
"Albany, OR",2004,106799,0.7205,764,1412,1073,75,471
"Albany, OR",2005,108132,1.2481,1333,1367,1094,65,1099
"Albany, OR",2006,110764,2.4341,2632,1477,1102,68,2284
"Albany, OR",2007,112932,1.9573,2168,1537,1105,61,1656
"Albany, OR",2008,114967,1.802,2035,1519,1162,61,1829
"Albany, OR",2009,116001,0.8994,1034,1542,1121,61,685
"Albany, OR",2010,116672,0.5784,671,386,260,13,79
"Albany, OR",2011,118127,1.2471,1455,1453,1127,33,878
"Albany, OR",2012,118332,0.1735,205,1445,1125,-1,-105
"Albany, OR",2013,118496,0.1386,164,1378,1137,0,-103
"Albany, OR",2014,119188,0.584,692,1453,1215,6,435
"Albany, OR",2015,120444,1.0538,1256,1455,1293,11,976
"Albany, OR",2016,122849,1.9968,2405,1436,1290,12,2126
area,year,population,percentChange,totalPopulationChange,births,deaths,internationalImmigration,domesticMigration
"Albany-Schenectady-Troy, NY",1970,746844,null,null,null,null,null,null
"Albany-Schenectady-Troy, NY",1971,761200,1.9222,14356,null,null,null,null
"Albany-Schenectady-Troy, NY",1972,772500,1.4845,11300,null,null,null,null
"Albany-Schenectady-Troy, NY",1973,774600,0.2718,2100,null,null,null,null
"Albany-Schenectady-Troy, NY",1974,772600,-0.2582,-2000,null,null,null,null
"Albany-Schenectady-Troy, NY",1975,774300,0.22,1700,null,null,null,null
"Albany-Schenectady-Troy, NY",1976,773000,-0.1679,-1300,null,null,null,null
"Albany-Schenectady-Troy, NY",1977,774600,0.207,1600,null,null,null,null
"Albany-Schenectady-Troy, NY",1978,776600,0.2582,2000,null,null,null,null
"Albany-Schenectady-Troy, NY",1979,776200,-0.0515,-400,null,null,null,null
"Albany-Schenectady-Troy, NY",1980,771290,-0.6326,-4910,null,null,null,null
"Albany-Schenectady-Troy, NY",1981,772505,0.1575,1215,null,null,null,null
"Albany-Schenectady-Troy, NY",1982,773678,0.1518,1173,10086,7511,null,null
"Albany-Schenectady-Troy, NY",1983,777649,0.5133,3971,10222,7413,null,null
"Albany-Schenectady-Troy, NY",1984,779804,0.2771,2155,10202,7471,null,null
"Albany-Schenectady-Troy, NY",1985,783736,0.5042,3932,10452,7522,null,null
"Albany-Schenectady-Troy, NY",1986,788761,0.6412,5025,10755,7637,null,null
"Albany-Schenectady-Troy, NY",1987,791466,0.3429,2705,10751,7682,null,null
"Albany-Schenectady-Troy, NY",1988,798121,0.8408,6655,10845,7638,null,null
"Albany-Schenectady-Troy, NY",1989,803919,0.7265,5798,11070,7470,null,null
"Albany-Schenectady-Troy, NY",1990,809642,0.7119,5723,8435,5464,null,null
"Albany-Schenectady-Troy, NY",1991,818272,1.0659,8630,11692,7342,null,null
"Albany-Schenectady-Troy, NY",1992,824285,0.7348,6013,11279,7490,896,-960
"Albany-Schenectady-Troy, NY",1993,827812,0.4279,3527,11038,7640,747,-2919
"Albany-Schenectady-Troy, NY",1994,830817,0.363,3005,10926,7589,888,-3443
"Albany-Schenectady-Troy, NY",1995,830439,-0.0455,-378,10665,7573,899,-4629
"Albany-Schenectady-Troy, NY",1996,828007,-0.2929,-2432,10302,7490,1039,-6483
"Albany-Schenectady-Troy, NY",1997,824711,-0.3981,-3296,9821,7687,1059,-6864
"Albany-Schenectady-Troy, NY",1998,823712,-0.1211,-999,9471,7428,715,-4425
"Albany-Schenectady-Troy, NY",1999,824119,0.0494,407,9615,7270,624,-3607
"Albany-Schenectady-Troy, NY",2000,825875,0.2131,1756,null,null,null,null
"Albany-Schenectady-Troy, NY",2001,831034,0.6247,5159,9437,7707,1471,-128
"Albany-Schenectady-Troy, NY",2002,836753,0.6882,5719,9251,7748,1303,2239
"Albany-Schenectady-Troy, NY",2003,844619,0.9401,7866,9582,7600,951,4068
"Albany-Schenectady-Troy, NY",2004,850384,0.6826,5765,9467,7682,1161,1935
"Albany-Schenectady-Troy, NY",2005,854604,0.4962,4220,9333,7666,1050,608
"Albany-Schenectady-Troy, NY",2006,860365,0.6741,5761,9467,7374,1132,1596
"Albany-Schenectady-Troy, NY",2007,863068,0.3142,2703,9482,7428,983,-1429
"Albany-Schenectady-Troy, NY",2008,866282,0.3724,3214,9530,7414,988,-765
"Albany-Schenectady-Troy, NY",2009,869361,0.3554,3079,9780,7468,970,-5
"Albany-Schenectady-Troy, NY",2010,870716,0.1559,1355,2376,1791,542,-694
"Albany-Schenectady-Troy, NY",2011,873214,0.2869,2498,9103,7626,2263,-1508
"Albany-Schenectady-Troy, NY",2012,875637,0.2775,2423,9116,7651,2530,-1514
"Albany-Schenectady-Troy, NY",2013,878401,0.3157,2764,9196,7766,2359,-838
"Albany-Schenectady-Troy, NY",2014,879775,0.1564,1374,9172,7551,2569,-2436
"Albany-Schenectady-Troy, NY",2015,880803,0.1168,1028,9102,7768,2699,-2560
"Albany-Schenectady-Troy, NY",2016,881839,0.1176,1036,9158,8058,2595,-2197
area,year,population,percentChange,totalPopulationChange,births,deaths,internationalImmigration,domesticMigration
"Albuquerque, NM",1970,359024,null,null,null,null,null,null
"Albuquerque, NM",1971,376700,4.9233,17676,null,null,null,null
"Albuquerque, NM",1972,386800,2.6812,10100,null,null,null,null
"Albuquerque, NM",1973,405100,4.7311,18300,null,null,null,null
"Albuquerque, NM",1974,418800,3.3819,13700,null,null,null,null
"Albuquerque, NM",1975,427800,2.149,9000,null,null,null,null
"Albuquerque, NM",1976,440300,2.9219,12500,null,null,null,null
"Albuquerque, NM",1977,455700,3.4976,15400,null,null,null,null
"Albuquerque, NM",1978,466100,2.2822,10400,null,null,null,null
"Albuquerque, NM",1979,480600,3.1109,14500,null,null,null,null
"Albuquerque, NM",1980,492921,2.5637,12321,null,null,null,null
"Albuquerque, NM",1981,504659,2.3813,11738,null,null,null,null
"Albuquerque, NM",1982,511169,1.29,6510,9003,3172,null,null
"Albuquerque, NM",1983,522356,2.1885,11187,9173,3286,null,null
"Albuquerque, NM",1984,533544,2.1418,11188,9320,3368,null,null
"Albuquerque, NM",1985,544603,2.0727,11059,9567,3580,null,null
"Albuquerque, NM",1986,558859,2.6177,14256,9814,3777,null,null
"Albuquerque, NM",1987,574324,2.7672,15465,10224,3845,null,null
"Albuquerque, NM",1988,583976,1.6806,9652,10323,3817,null,null
"Albuquerque, NM",1989,594036,1.7227,10060,10208,3845,null,null
"Albuquerque, NM",1990,599416,0.9057,5380,7706,2906,null,null
"Albuquerque, NM",1991,616345,2.8242,16929,10269,4048,null,null
"Albuquerque, NM",1992,633032,2.7074,16687,10383,4069,1377,5663
"Albuquerque, NM",1993,649987,2.6784,16955,10246,4439,1496,6506
"Albuquerque, NM",1994,669734,3.0381,19747,10435,4423,1446,9140
"Albuquerque, NM",1995,687901,2.7126,18167,10406,4824,1630,7796
"Albuquerque, NM",1996,700161,1.7822,12260,10340,4923,1813,2145
"Albuquerque, NM",1997,709661,1.3568,9500,10519,4818,1791,-625
"Albuquerque, NM",1998,717406,1.0914,7745,10613,5070,1451,-2371
"Albuquerque, NM",1999,722692,0.7368,5286,10778,5182,1426,-4460
"Albuquerque, NM",2000,729649,0.9627,6957,null,null,null,null
"Albuquerque, NM",2001,741932,1.6834,12283,10813,5426,2291,889
"Albuquerque, NM",2002,757716,2.1274,15784,10915,5688,2075,7397
"Albuquerque, NM",2003,772128,1.902,14412,11310,5614,1521,6010
"Albuquerque, NM",2004,789237,2.2158,17109,11181,5863,2312,7931
"Albuquerque, NM",2005,809551,2.5739,20314,11760,5878,2194,10514
"Albuquerque, NM",2006,831252,2.6806,21701,11778,6248,2361,11904
"Albuquerque, NM",2007,849641,2.2122,18389,12575,6263,1998,8433
"Albuquerque, NM",2008,863383,1.6174,13742,12624,6279,2016,3595
"Albuquerque, NM",2009,876448,1.5132,13065,12629,6296,1967,3095
"Albuquerque, NM",2010,887077,1.2127,10629,2759,1417,230,946
"Albuquerque, NM",2011,896818,1.0981,9741,11171,6716,792,2133
"Albuquerque, NM",2012,900781,0.4419,3963,11025,6616,1173,-1548
"Albuquerque, NM",2013,902911,0.2365,2130,10727,6826,881,-2709
"Albuquerque, NM",2014,903658,0.0827,747,10469,7018,1049,-3612
"Albuquerque, NM",2015,905174,0.1678,1516,10279,7546,1165,-2608
"Albuquerque, NM",2016,909906,0.5228,4732,10272,7602,1065,963
area,year,population,percentChange,totalPopulationChange,births,deaths,internationalImmigration,domesticMigration
"Alexandria, LA",1970,131749,null,null,null,null,null,null
"Alexandria, LA",1971,136700,3.7579,4951,null,null,null,null
"Alexandria, LA",1972,137400,0.5121,700,null,null,null,null
"Alexandria, LA",1973,140000,1.8923,2600,null,null,null,null
"Alexandria, LA",1974,140200,0.1429,200,null,null,null,null
"Alexandria, LA",1975,141200,0.7133,1000,null,null,null,null
"Alexandria, LA",1976,143800,1.8414,2600,null,null,null,null
"Alexandria, LA",1977,146300,1.7385,2500,null,null,null,null
"Alexandria, LA",1978,147600,0.8886,1300,null,null,null,null
"Alexandria, LA",1979,149900,1.5583,2300,null,null,null,null
"Alexandria, LA",1980,151985,1.3909,2085,null,null,null,null
"Alexandria, LA",1981,152773,0.5185,788,null,null,null,null
"Alexandria, LA",1982,152877,0.0681,104,2708,1401,null,null
"Alexandria, LA",1983,154017,0.7457,1140,2776,1394,null,null
"Alexandria, LA",1984,154515,0.3233,498,2780,1413,null,null
"Alexandria, LA",1985,153989,-0.3404,-526,2662,1413,null,null
"Alexandria, LA",1986,154335,0.2247,346,2585,1408,null,null
"Alexandria, LA",1987,153188,-0.7432,-1147,2519,1398,null,null
"Alexandria, LA",1988,151377,-1.1822,-1811,2461,1434,null,null
"Alexandria, LA",1989,150180,-0.7907,-1197,2439,1480,null,null
"Alexandria, LA",1990,149082,-0.7311,-1098,1831,1107,null,null
"Alexandria, LA",1991,149046,-0.0241,-36,2379,1370,null,null
"Alexandria, LA",1992,147621,-0.9561,-1425,2427,1479,135,-2578
"Alexandria, LA",1993,142225,-3.6553,-5396,2238,1489,88,-6181
"Alexandria, LA",1994,143086,0.6054,861,2209,1538,100,155
"Alexandria, LA",1995,144162,0.752,1076,2169,1549,53,542
"Alexandria, LA",1996,143970,-0.1332,-192,2102,1474,68,-727
"Alexandria, LA",1997,143986,0.0111,16,2050,1434,74,-590
"Alexandria, LA",1998,144330,0.2389,344,2148,1503,63,-273
"Alexandria, LA",1999,144803,0.3277,473,2086,1493,52,-45
"Alexandria, LA",2000,145035,0.1602,232,null,null,null,null
"Alexandria, LA",2001,145102,0.0462,67,2166,1579,89,-815
"Alexandria, LA",2002,145416,0.2164,314,2154,1497,71,-470
"Alexandria, LA",2003,146017,0.4133,601,2092,1604,33,-1
"Alexandria, LA",2004,146973,0.6547,956,2170,1546,108,70
"Alexandria, LA",2005,147930,0.6511,957,2152,1571,90,134
"Alexandria, LA",2006,151142,2.1713,3212,2181,1542,106,2319
"Alexandria, LA",2007,151506,0.2408,364,2320,1495,84,-656
"Alexandria, LA",2008,152442,0.6178,936,2307,1419,90,-221
"Alexandria, LA",2009,153164,0.4736,722,2250,1598,84,-77
"Alexandria, LA",2010,153922,0.4949,758,501,373,34,58
"Alexandria, LA",2011,154426,0.3274,504,2039,1481,127,-306
"Alexandria, LA",2012,154588,0.1049,162,2025,1587,160,-435
"Alexandria, LA",2013,154828,0.1553,240,2008,1728,122,-153
"Alexandria, LA",2014,154861,0.0213,33,2140,1555,140,-644
"Alexandria, LA",2015,154662,-0.1285,-199,2196,1664,145,-939
"Alexandria, LA",2016,154789,0.0821,127,2152,1621,142,-479
area,year,population,percentChange,totalPopulationChange,births,deaths,internationalImmigration,domesticMigration
"Allentown-Bethlehem-Easton, PA-NJ",1970,594382,null,null,null,null,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1971,601800,1.248,7418,null,null,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1972,605100,0.5484,3300,null,null,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1973,610900,0.9585,5800,null,null,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1974,617700,1.1131,6800,null,null,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1975,622000,0.6961,4300,null,null,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1976,624800,0.4502,2800,null,null,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1977,627600,0.4481,2800,null,null,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1978,629700,0.3346,2100,null,null,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1979,633100,0.5399,3400,null,null,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1980,635481,0.3761,2381,null,null,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1981,638748,0.5141,3267,null,null,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1982,640790,0.3197,2042,8172,6055,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1983,641637,0.1322,847,8030,6107,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1984,644843,0.4997,3206,7880,6220,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1985,648256,0.5293,3413,8016,6316,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1986,654365,0.9424,6109,8214,6439,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1987,663413,1.3827,9048,8496,6516,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1988,674767,1.7115,11354,8979,6490,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1989,682657,1.1693,7890,9393,6430,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1990,686718,0.5949,4061,7182,4764,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1991,696168,1.3761,9450,9616,6470,null,null
"Allentown-Bethlehem-Easton, PA-NJ",1992,702948,0.9739,6780,9395,6559,727,1585
"Allentown-Bethlehem-Easton, PA-NJ",1993,708776,0.8291,5828,9061,6858,719,1208
"Allentown-Bethlehem-Easton, PA-NJ",1994,714019,0.7397,5243,9010,6876,675,801
"Allentown-Bethlehem-Easton, PA-NJ",1995,717685,0.5134,3666,8392,7037,888,-218
"Allentown-Bethlehem-Easton, PA-NJ",1996,722063,0.61,4378,8461,6950,945,399
"Allentown-Bethlehem-Easton, PA-NJ",1997,726464,0.6095,4401,8254,7069,1016,316
"Allentown-Bethlehem-Easton, PA-NJ",1998,730779,0.594,4315,8179,6936,852,245
"Allentown-Bethlehem-Easton, PA-NJ",1999,736327,0.7592,5548,8210,6909,953,1877
"Allentown-Bethlehem-Easton, PA-NJ",2000,740395,0.5525,4068,null,null,null,null
"Allentown-Bethlehem-Easton, PA-NJ",2001,748705,1.1224,8310,8653,7345,1747,4164
"Allentown-Bethlehem-Easton, PA-NJ",2002,756628,1.0582,7923,8518,7397,1716,5139
"Allentown-Bethlehem-Easton, PA-NJ",2003,766938,1.3626,10310,8845,7284,1582,6846
"Allentown-Bethlehem-Easton, PA-NJ",2004,777277,1.3481,10339,9137,7539,1565,7471
"Allentown-Bethlehem-Easton, PA-NJ",2005,787738,1.3459,10461,9117,7509,1652,7266
"Allentown-Bethlehem-Easton, PA-NJ",2006,798586,1.3771,10848,9156,7483,2005,7167
"Allentown-Bethlehem-Easton, PA-NJ",2007,807578,1.126,8992,9601,7339,1782,4888
"Allentown-Bethlehem-Easton, PA-NJ",2008,814050,0.8014,6472,9651,7420,1829,2345
"Allentown-Bethlehem-Easton, PA-NJ",2009,817779,0.4581,3729,9579,7609,1835,511
"Allentown-Bethlehem-Easton, PA-NJ",2010,821173,0.415,3394,2194,1957,499,168
"Allentown-Bethlehem-Easton, PA-NJ",2011,825160,0.4855,3987,8715,7862,2315,-14
"Allentown-Bethlehem-Easton, PA-NJ",2012,827294,0.2586,2134,8652,7632,2552,-1419
"Allentown-Bethlehem-Easton, PA-NJ",2013,827238,-0.0068,-56,8630,8171,2602,-3446
"Allentown-Bethlehem-Easton, PA-NJ",2014,830452,0.3885,3214,8685,7820,3059,-407
"Allentown-Bethlehem-Easton, PA-NJ",2015,833049,0.3127,2597,8503,8079,3129,-1161
"Allentown-Bethlehem-Easton, PA-NJ",2016,835652,0.3125,2603,8556,8032,3100,-635
area,year,population,percentChange,totalPopulationChange,births,deaths,internationalImmigration,domesticMigration
"Altoona, PA",1970,135356,null,null,null,null,null,null
"Altoona, PA",1971,137000,1.2146,1644,null,null,null,null
"Altoona, PA",1972,137700,0.5109,700,null,null,null,null
